creationDate,type,startDate,endDate,sleepTime
2022-11-08,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-11-082022-11-08,2022-11-082022-11-08,0 days 06:06:47
2022-11-09,HKCategoryTypeIdentifierSleepAnalysis,2022-11-09,2022-11-09,0 days 06:07:40
2022-11-10,HKCategoryTypeIdentifierSleepAnalysis,2022-11-10,2022-11-10,0 days 06:32:53
2022-11-11,HKCategoryTypeIdentifierSleepAnalysis,2022-11-11,2022-11-11,0 days 05:28:29
2022-11-13,HKCategoryTypeIdentifierSleepAnalysis,2022-11-13,2022-11-13,0 days 06:17:34
2022-11-14,HKCategoryTypeIdentifierSleepAnalysis,2022-11-14,2022-11-14,0 days 06:00:46
2022-11-15,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-11-152022-11-152022-11-15,2022-11-152022-11-152022-11-15,0 days 05:22:20
2022-11-16,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-11-162022-11-162022-11-16,2022-11-162022-11-162022-11-16,0 days 08:37:14
2022-11-17,HKCategoryTypeIdentifierSleepAnalysis,2022-11-16,2022-11-17,0 days 06:19:24
2022-11-18,HKCategoryTypeIdentifierSleepAnalysis,2022-11-18,2022-11-18,0 days 05:56:40
2022-11-19,HKCategoryTypeIdentifierSleepAnalysis,2022-11-18,2022-11-19,0 days 07:30:36
2022-11-20,HKCategoryTypeIdentifierSleepAnalysis,2022-11-20,2022-11-20,0 days 05:54:51
2022-11-21,HKCategoryTypeIdentifierSleepAnalysis,2022-11-21,2022-11-21,0 days 05:50:45
2022-11-22,HKCategoryTypeIdentifierSleepAnalysis,2022-11-22,2022-11-22,0 days 06:18:55
2022-11-23,HKCategoryTypeIdentifierSleepAnalysis,2022-11-23,2022-11-23,0 days 06:17:10
2022-11-24,HKCategoryTypeIdentifierSleepAnalysis,2022-11-24,2022-11-24,0 days 06:19:49
2022-11-25,HKCategoryTypeIdentifierSleepAnalysis,2022-11-25,2022-11-25,0 days 05:24:53
2022-11-27,HKCategoryTypeIdentifierSleepAnalysis,2022-11-27,2022-11-27,0 days 04:28:31
2022-11-28,HKCategoryTypeIdentifierSleepAnalysis,2022-11-27,2022-11-28,0 days 07:08:45
2022-11-29,HKCategoryTypeIdentifierSleepAnalysis,2022-11-29,2022-11-29,0 days 06:26:28
